"","STATION_NUMBER","Date","Parameter","Value","Symbol"
"1","08JC005",1960-06-01,"Flow",52.0999984741211,"E"
"2","08JC005",1960-06-02,"Flow",50.4000015258789,"E"
"3","08JC005",1960-06-03,"Flow",48.4000015258789,"E"
"4","08JC005",1960-06-04,"Flow",46.4000015258789,"E"
"5","08JC005",1960-06-05,"Flow",44.5,"E"
"6","08JC005",1960-06-06,"Flow",42.7999992370605,"E"
"7","08JC005",1960-06-07,"Flow",40.7999992370605,"E"
"8","08JC005",1960-06-08,"Flow",38.7999992370605,"E"
"9","08JC005",1960-06-09,"Flow",37.7000007629395,"E"
"10","08JC005",1960-06-10,"Flow",36.2000007629395,"E"
"11","08JC005",1960-06-11,"Flow",35.0999984741211,"E"
"12","08JC005",1960-06-12,"Flow",33.0999984741211,"E"
"13","08JC005",1960-06-13,"Flow",32.5999984741211,"E"
"14","08JC005",1960-06-14,"Flow",32.2999992370605,NA
"15","08JC005",1960-06-15,"Flow",31.1000003814697,NA
"16","08JC005",1960-06-16,"Flow",30.2999992370605,NA
"17","08JC005",1960-06-17,"Flow",29.3999996185303,NA
"18","08JC005",1960-06-18,"Flow",27.2000007629395,NA
"19","08JC005",1960-06-19,"Flow",26.3999996185303,NA
"20","08JC005",1960-06-20,"Flow",26.6000003814697,NA
"21","08JC005",1960-06-21,"Flow",26.2999992370605,NA
"22","08JC005",1960-06-22,"Flow",24.6000003814697,NA
"23","08JC005",1960-06-23,"Flow",23.2000007629395,NA
"24","08JC005",1960-06-24,"Flow",22.1000003814697,NA
"25","08JC005",1960-06-25,"Flow",21.5,NA
"26","08JC005",1960-06-26,"Flow",20.6000003814697,NA
"27","08JC005",1960-06-27,"Flow",20.2000007629395,NA
"28","08JC005",1960-06-28,"Flow",19.8999996185303,NA
"29","08JC005",1960-06-29,"Flow",19.6000003814697,NA
"30","08JC005",1960-06-30,"Flow",19.2999992370605,NA
"31","08JC005",1960-07-01,"Flow",18.7000007629395,NA
"32","08JC005",1960-07-02,"Flow",17,NA
"33","08JC005",1960-07-03,"Flow",15.6999998092651,NA
"34","08JC005",1960-07-04,"Flow",14.6999998092651,NA
"35","08JC005",1960-07-05,"Flow",13.6000003814697,NA
"36","08JC005",1960-07-06,"Flow",13,NA
"37","08JC005",1960-07-07,"Flow",11.8999996185303,NA
"38","08JC005",1960-07-08,"Flow",11.1999998092651,NA
"39","08JC005",1960-07-09,"Flow",10.1999998092651,NA
"40","08JC005",1960-07-10,"Flow",9.71000003814697,NA
"41","08JC005",1960-07-11,"Flow",8.8100004196167,NA
"42","08JC005",1960-07-12,"Flow",8.55000019073486,NA
"43","08JC005",1960-07-13,"Flow",7.98999977111816,"E"
"44","08JC005",1960-07-14,"Flow",7.67000007629395,NA
"45","08JC005",1960-07-15,"Flow",7.1399998664856,NA
"46","08JC005",1960-07-16,"Flow",6.63000011444092,NA
"47","08JC005",1960-07-17,"Flow",6.53999996185303,NA
"48","08JC005",1960-07-18,"Flow",6.48000001907349,NA
"49","08JC005",1960-07-19,"Flow",6.28999996185303,NA
"50","08JC005",1960-07-20,"Flow",6.03000020980835,NA
"51","08JC005",1960-07-21,"Flow",5.71999979019165,NA
"52","08JC005",1960-07-22,"Flow",5.38000011444092,NA
"53","08JC005",1960-07-23,"Flow",5.07000017166138,NA
"54","08JC005",1960-07-24,"Flow",5.03999996185303,NA
"55","08JC005",1960-07-25,"Flow",4.98000001907349,NA
"56","08JC005",1960-07-26,"Flow",4.90000009536743,NA
"57","08JC005",1960-07-27,"Flow",4.80999994277954,NA
"58","08JC005",1960-07-28,"Flow",4.69999980926514,NA
"59","08JC005",1960-07-29,"Flow",4.44999980926514,NA
"60","08JC005",1960-07-30,"Flow",4.19000005722046,NA
"61","08JC005",1960-07-31,"Flow",4.19000005722046,NA
"62","08JC005",1960-08-01,"Flow",4.19000005722046,NA
"63","08JC005",1960-08-02,"Flow",4.1100001335144,NA
"64","08JC005",1960-08-03,"Flow",4.01999998092651,NA
"65","08JC005",1960-08-04,"Flow",3.84999990463257,NA
"66","08JC005",1960-08-05,"Flow",3.76999998092651,NA
"67","08JC005",1960-08-06,"Flow",3.76999998092651,NA
"68","08JC005",1960-08-07,"Flow",3.59999990463257,NA
"69","08JC005",1960-08-08,"Flow",3.45000004768372,NA
"70","08JC005",1960-08-09,"Flow",3.33999991416931,NA
"71","08JC005",1960-08-10,"Flow",3.17000007629395,NA
"72","08JC005",1960-08-11,"Flow",3.08999991416931,NA
"73","08JC005",1960-08-12,"Flow",2.92000007629395,NA
"74","08JC005",1960-08-13,"Flow",2.92000007629395,NA
"75","08JC005",1960-08-14,"Flow",3.17000007629395,NA
"76","08JC005",1960-08-15,"Flow",3.33999991416931,NA
"77","08JC005",1960-08-16,"Flow",3.50999999046326,NA
"78","08JC005",1960-08-17,"Flow",3.50999999046326,NA
"79","08JC005",1960-08-18,"Flow",3.4300000667572,NA
"80","08JC005",1960-08-19,"Flow",3.33999991416931,NA
"81","08JC005",1960-08-20,"Flow",3.27999997138977,NA
"82","08JC005",1960-08-21,"Flow",3.50999999046326,NA
"83","08JC005",1960-08-22,"Flow",3.5699999332428,NA
"84","08JC005",1960-08-23,"Flow",3.59999990463257,NA
"85","08JC005",1960-08-24,"Flow",3.76999998092651,NA
"86","08JC005",1960-08-25,"Flow",3.84999990463257,NA
"87","08JC005",1960-08-26,"Flow",3.76999998092651,NA
"88","08JC005",1960-08-27,"Flow",3.59999990463257,NA
"89","08JC005",1960-08-28,"Flow",3.59999990463257,NA
"90","08JC005",1960-08-29,"Flow",3.59999990463257,NA
"91","08JC005",1960-08-30,"Flow",4.19000005722046,NA
"92","08JC005",1960-08-31,"Flow",4.28000020980835,NA
"93","08JC005",1960-09-01,"Flow",4.3600001335144,NA
"94","08JC005",1960-09-02,"Flow",4.3600001335144,NA
"95","08JC005",1960-09-03,"Flow",4.28000020980835,NA
"96","08JC005",1960-09-04,"Flow",4.19000005722046,NA
"97","08JC005",1960-09-05,"Flow",4.19000005722046,NA
"98","08JC005",1960-09-06,"Flow",4.01999998092651,NA
"99","08JC005",1960-09-07,"Flow",3.84999990463257,NA
"100","08JC005",1960-09-08,"Flow",3.76999998092651,NA
"101","08JC005",1960-09-09,"Flow",3.33999991416931,NA
"102","08JC005",1960-09-10,"Flow",3.33999991416931,NA
"103","08JC005",1960-09-11,"Flow",3.17000007629395,NA
"104","08JC005",1960-09-12,"Flow",3,NA
"105","08JC005",1960-09-13,"Flow",2.92000007629395,NA
"106","08JC005",1960-09-14,"Flow",2.75,NA
"107","08JC005",1960-09-15,"Flow",2.75,NA
"108","08JC005",1960-09-16,"Flow",2.66000008583069,NA
"109","08JC005",1960-09-17,"Flow",2.66000008583069,NA
"110","08JC005",1960-09-18,"Flow",2.57999992370605,NA
"111","08JC005",1960-09-19,"Flow",2.66000008583069,NA
"112","08JC005",1960-09-20,"Flow",2.66000008583069,NA
"113","08JC005",1960-09-21,"Flow",2.57999992370605,NA
"114","08JC005",1960-09-22,"Flow",2.66000008583069,NA
"115","08JC005",1960-09-23,"Flow",3.08999991416931,NA
"116","08JC005",1960-09-24,"Flow",3.33999991416931,NA
"117","08JC005",1960-09-25,"Flow",3.4300000667572,NA
"118","08JC005",1960-09-26,"Flow",3.50999999046326,NA
"119","08JC005",1960-09-27,"Flow",3.59999990463257,NA
"120","08JC005",1960-09-28,"Flow",3.59999990463257,NA
"121","08JC005",1960-09-29,"Flow",3.76999998092651,NA
"122","08JC005",1960-09-30,"Flow",3.59999990463257,NA
"123","08JC005",1960-10-01,"Flow",3.59999990463257,NA
"124","08JC005",1960-10-02,"Flow",3.59999990463257,NA
"125","08JC005",1960-10-03,"Flow",3.50999999046326,NA
"126","08JC005",1960-10-04,"Flow",3.4300000667572,NA
"127","08JC005",1960-10-05,"Flow",3.17000007629395,NA
"128","08JC005",1960-10-06,"Flow",3.33999991416931,NA
"129","08JC005",1960-10-07,"Flow",3.4300000667572,NA
"130","08JC005",1960-10-08,"Flow",3.50999999046326,NA
"131","08JC005",1960-10-09,"Flow",3.59999990463257,NA
"132","08JC005",1960-10-10,"Flow",3.50999999046326,NA
"133","08JC005",1960-10-11,"Flow",3.76999998092651,NA
"134","08JC005",1960-10-12,"Flow",3.76999998092651,NA
"135","08JC005",1960-10-13,"Flow",3.76999998092651,NA
"136","08JC005",1960-10-14,"Flow",3.59999990463257,NA
"137","08JC005",1960-10-15,"Flow",3.59999990463257,NA
"138","08JC005",1960-10-16,"Flow",3.76999998092651,NA
"139","08JC005",1960-10-17,"Flow",4.01999998092651,NA
"140","08JC005",1960-10-18,"Flow",4.01999998092651,NA
"141","08JC005",1960-10-19,"Flow",4.19000005722046,NA
"142","08JC005",1960-10-20,"Flow",4.19000005722046,NA
"143","08JC005",1960-10-21,"Flow",4.44999980926514,NA
"144","08JC005",1960-10-22,"Flow",4.61999988555908,NA
"145","08JC005",1960-10-23,"Flow",5.07000017166138,NA
"146","08JC005",1960-10-24,"Flow",5.38000011444092,NA
"147","08JC005",1960-10-25,"Flow",5.8600001335144,NA
"148","08JC005",1960-10-26,"Flow",6.1399998664856,NA
"149","08JC005",1960-10-27,"Flow",6.1399998664856,NA
"150","08JC005",1960-10-28,"Flow",6.03000020980835,NA
"151","08JC005",1960-10-29,"Flow",6.03000020980835,NA
"152","08JC005",1960-10-30,"Flow",5.8600001335144,NA
"153","08JC005",1960-10-31,"Flow",5.65999984741211,NA
"154","08JC005",1960-11-01,"Flow",5.55000019073486,NA
"155","08JC005",1960-11-02,"Flow",5.38000011444092,NA
"156","08JC005",1960-11-03,"Flow",5.17999982833862,NA
"157","08JC005",1960-11-04,"Flow",5.07000017166138,NA
"158","08JC005",1960-11-05,"Flow",4.90000009536743,NA
"159","08JC005",1960-11-06,"Flow",4.69999980926514,NA
"160","08JC005",1960-11-07,"Flow",4.44999980926514,NA
"161","08JC005",1960-11-08,"Flow",4.28000020980835,NA
