"","STATION_NUMBER","Date","Parameter","Value","Symbol"
"1","08JA001",1915-06-01,"Flow",NA,NA
"2","08JA001",1915-06-02,"Flow",NA,NA
"3","08JA001",1915-06-03,"Flow",NA,NA
"4","08JA001",1915-06-04,"Flow",NA,NA
"5","08JA001",1915-06-05,"Flow",NA,NA
"6","08JA001",1915-06-06,"Flow",NA,NA
"7","08JA001",1915-06-07,"Flow",NA,NA
"8","08JA001",1915-06-08,"Flow",NA,NA
"9","08JA001",1915-06-09,"Flow",NA,NA
"10","08JA001",1915-06-10,"Flow",NA,NA
"11","08JA001",1915-06-11,"Flow",NA,NA
"12","08JA001",1915-06-12,"Flow",NA,NA
"13","08JA001",1915-06-13,"Flow",NA,NA
"14","08JA001",1915-06-14,"Flow",NA,NA
"15","08JA001",1915-06-15,"Flow",NA,NA
"16","08JA001",1915-06-16,"Flow",430,NA
"17","08JA001",1915-06-17,"Flow",416,NA
"18","08JA001",1915-06-18,"Flow",411,NA
"19","08JA001",1915-06-19,"Flow",405,NA
"20","08JA001",1915-06-20,"Flow",405,NA
"21","08JA001",1915-06-21,"Flow",399,NA
"22","08JA001",1915-06-22,"Flow",394,NA
"23","08JA001",1915-06-23,"Flow",388,NA
"24","08JA001",1915-06-24,"Flow",382,NA
"25","08JA001",1915-06-25,"Flow",382,NA
"26","08JA001",1915-06-26,"Flow",377,NA
"27","08JA001",1915-06-27,"Flow",377,NA
"28","08JA001",1915-06-28,"Flow",382,NA
"29","08JA001",1915-06-29,"Flow",382,NA
"30","08JA001",1915-06-30,"Flow",377,NA
"31","08JA001",1915-07-01,"Flow",371,NA
"32","08JA001",1915-07-02,"Flow",360,NA
"33","08JA001",1915-07-03,"Flow",354,NA
"34","08JA001",1915-07-04,"Flow",354,NA
"35","08JA001",1915-07-05,"Flow",354,NA
"36","08JA001",1915-07-06,"Flow",348,NA
"37","08JA001",1915-07-07,"Flow",343,NA
"38","08JA001",1915-07-08,"Flow",331,NA
"39","08JA001",1915-07-09,"Flow",326,NA
"40","08JA001",1915-07-10,"Flow",326,NA
"41","08JA001",1915-07-11,"Flow",320,NA
"42","08JA001",1915-07-12,"Flow",314,NA
"43","08JA001",1915-07-13,"Flow",311,NA
"44","08JA001",1915-07-14,"Flow",314,NA
"45","08JA001",1915-07-15,"Flow",311,NA
"46","08JA001",1915-07-16,"Flow",311,NA
"47","08JA001",1915-07-17,"Flow",317,NA
"48","08JA001",1915-07-18,"Flow",314,NA
"49","08JA001",1915-07-19,"Flow",337,NA
"50","08JA001",1915-07-20,"Flow",340,NA
"51","08JA001",1915-07-21,"Flow",345,NA
"52","08JA001",1915-07-22,"Flow",354,NA
"53","08JA001",1915-07-23,"Flow",348,NA
"54","08JA001",1915-07-24,"Flow",343,NA
"55","08JA001",1915-07-25,"Flow",337,NA
"56","08JA001",1915-07-26,"Flow",331,NA
