"","STATION_NUMBER","Date","Parameter","Value","Symbol"
"1","08JB008",1964-07-01,"Flow",NA,NA
"2","08JB008",1964-07-02,"Flow",NA,NA
"3","08JB008",1964-07-03,"Flow",NA,NA
"4","08JB008",1964-07-04,"Flow",NA,NA
"5","08JB008",1964-07-05,"Flow",NA,NA
"6","08JB008",1964-07-06,"Flow",NA,NA
"7","08JB008",1964-07-07,"Flow",NA,NA
"8","08JB008",1964-07-08,"Flow",NA,NA
"9","08JB008",1964-07-09,"Flow",NA,NA
"10","08JB008",1964-07-10,"Flow",NA,NA
"11","08JB008",1964-07-11,"Flow",NA,NA
"12","08JB008",1964-07-12,"Flow",NA,NA
"13","08JB008",1964-07-13,"Flow",NA,NA
"14","08JB008",1964-07-14,"Flow",NA,NA
"15","08JB008",1964-07-15,"Flow",NA,NA
"16","08JB008",1964-07-16,"Flow",NA,NA
"17","08JB008",1964-07-17,"Flow",NA,NA
"18","08JB008",1964-07-18,"Flow",NA,NA
"19","08JB008",1964-07-19,"Flow",NA,NA
"20","08JB008",1964-07-20,"Flow",NA,NA
"21","08JB008",1964-07-21,"Flow",20,NA
"22","08JB008",1964-07-22,"Flow",NA,NA
"23","08JB008",1964-07-23,"Flow",NA,NA
"24","08JB008",1964-07-24,"Flow",NA,NA
"25","08JB008",1964-07-25,"Flow",NA,NA
"26","08JB008",1964-07-26,"Flow",NA,NA
"27","08JB008",1964-07-27,"Flow",NA,NA
"28","08JB008",1964-07-28,"Flow",NA,NA
"29","08JB008",1964-07-29,"Flow",NA,NA
"30","08JB008",1964-07-30,"Flow",NA,NA
"31","08JB008",1964-07-31,"Flow",NA,NA
"32","08JB008",1964-08-01,"Flow",NA,NA
"33","08JB008",1964-08-02,"Flow",NA,NA
"34","08JB008",1964-08-03,"Flow",NA,NA
"35","08JB008",1964-08-04,"Flow",NA,NA
"36","08JB008",1964-08-05,"Flow",NA,NA
"37","08JB008",1964-08-06,"Flow",NA,NA
"38","08JB008",1964-08-07,"Flow",NA,NA
"39","08JB008",1964-08-08,"Flow",NA,NA
"40","08JB008",1964-08-09,"Flow",NA,NA
"41","08JB008",1964-08-10,"Flow",NA,NA
"42","08JB008",1964-08-11,"Flow",NA,NA
"43","08JB008",1964-08-12,"Flow",NA,NA
"44","08JB008",1964-08-13,"Flow",NA,NA
"45","08JB008",1964-08-14,"Flow",NA,NA
"46","08JB008",1964-08-15,"Flow",NA,NA
