"","STATION_NUMBER","Date","Parameter","Value","Symbol"
"1","08JA013",1955-06-01,"Flow",NA,NA
"2","08JA013",1955-06-02,"Flow",NA,NA
"3","08JA013",1955-06-03,"Flow",NA,NA
"4","08JA013",1955-06-04,"Flow",NA,NA
"5","08JA013",1955-06-05,"Flow",NA,NA
"6","08JA013",1955-06-06,"Flow",NA,NA
"7","08JA013",1955-06-07,"Flow",NA,NA
"8","08JA013",1955-06-08,"Flow",NA,NA
"9","08JA013",1955-06-09,"Flow",1.41999995708466,NA
"10","08JA013",1955-06-10,"Flow",1.41999995708466,NA
"11","08JA013",1955-06-11,"Flow",1.41999995708466,NA
"12","08JA013",1955-06-12,"Flow",1.41999995708466,NA
"13","08JA013",1955-06-13,"Flow",1.41999995708466,NA
"14","08JA013",1955-06-14,"Flow",1.41999995708466,NA
"15","08JA013",1955-06-15,"Flow",1.41999995708466,NA
"16","08JA013",1955-06-16,"Flow",NA,NA
"17","08JA013",1955-06-17,"Flow",NA,NA
"18","08JA013",1955-06-18,"Flow",NA,NA
"19","08JA013",1955-06-19,"Flow",NA,NA
"20","08JA013",1955-06-20,"Flow",NA,NA
"21","08JA013",1955-06-21,"Flow",NA,NA
"22","08JA013",1955-06-22,"Flow",NA,NA
"23","08JA013",1955-06-23,"Flow",NA,NA
"24","08JA013",1955-06-24,"Flow",NA,NA
"25","08JA013",1955-06-25,"Flow",NA,NA
"26","08JA013",1955-06-26,"Flow",NA,NA
"27","08JA013",1955-06-27,"Flow",NA,NA
"28","08JA013",1955-06-28,"Flow",NA,NA
"29","08JA013",1955-06-29,"Flow",NA,NA
"30","08JA013",1955-06-30,"Flow",NA,NA
"31","08JA013",1955-11-01,"Flow",NA,NA
"32","08JA013",1955-11-02,"Flow",NA,NA
"33","08JA013",1955-11-03,"Flow",NA,NA
"34","08JA013",1955-11-04,"Flow",NA,NA
"35","08JA013",1955-11-05,"Flow",NA,NA
"36","08JA013",1955-11-06,"Flow",NA,NA
"37","08JA013",1955-11-07,"Flow",NA,NA
"38","08JA013",1955-11-08,"Flow",NA,NA
"39","08JA013",1955-11-09,"Flow",NA,NA
"40","08JA013",1955-11-10,"Flow",NA,NA
"41","08JA013",1955-11-11,"Flow",NA,NA
"42","08JA013",1955-11-12,"Flow",NA,NA
"43","08JA013",1955-11-13,"Flow",NA,NA
"44","08JA013",1955-11-14,"Flow",NA,NA
"45","08JA013",1955-11-15,"Flow",NA,NA
"46","08JA013",1955-11-16,"Flow",NA,NA
"47","08JA013",1955-11-17,"Flow",25.5,NA
"48","08JA013",1955-11-18,"Flow",25.5,NA
"49","08JA013",1955-11-19,"Flow",25.5,NA
"50","08JA013",1955-11-20,"Flow",25.5,NA
"51","08JA013",1955-11-21,"Flow",25.5,NA
"52","08JA013",1955-11-22,"Flow",25.5,NA
"53","08JA013",1955-11-23,"Flow",25.5,NA
"54","08JA013",1955-11-24,"Flow",17,NA
"55","08JA013",1955-11-25,"Flow",NA,NA
"56","08JA013",1955-11-26,"Flow",NA,NA
"57","08JA013",1955-11-27,"Flow",NA,NA
"58","08JA013",1955-11-28,"Flow",NA,NA
"59","08JA013",1955-11-29,"Flow",NA,NA
"60","08JA013",1955-11-30,"Flow",NA,NA
"61","08JA013",1956-01-01,"Flow",0,NA
"62","08JA013",1956-01-02,"Flow",0,NA
"63","08JA013",1956-01-03,"Flow",0,NA
"64","08JA013",1956-01-04,"Flow",0,NA
"65","08JA013",1956-01-05,"Flow",0,NA
"66","08JA013",1956-01-06,"Flow",0,NA
"67","08JA013",1956-01-07,"Flow",0,NA
"68","08JA013",1956-01-08,"Flow",0,NA
"69","08JA013",1956-01-09,"Flow",0,NA
"70","08JA013",1956-01-10,"Flow",0,NA
"71","08JA013",1956-01-11,"Flow",0,NA
"72","08JA013",1956-01-12,"Flow",0,NA
"73","08JA013",1956-01-13,"Flow",0,NA
"74","08JA013",1956-01-14,"Flow",7.07999992370605,NA
"75","08JA013",1956-01-15,"Flow",7.07999992370605,NA
"76","08JA013",1956-01-16,"Flow",7.07999992370605,NA
"77","08JA013",1956-01-17,"Flow",7.07999992370605,NA
"78","08JA013",1956-01-18,"Flow",7.07999992370605,NA
"79","08JA013",1956-01-19,"Flow",7.07999992370605,NA
"80","08JA013",1956-01-20,"Flow",7.07999992370605,NA
"81","08JA013",1956-01-21,"Flow",5.65999984741211,NA
"82","08JA013",1956-01-22,"Flow",2.82999992370605,NA
"83","08JA013",1956-01-23,"Flow",2.82999992370605,NA
"84","08JA013",1956-01-24,"Flow",2.82999992370605,NA
"85","08JA013",1956-01-25,"Flow",2.82999992370605,NA
"86","08JA013",1956-01-26,"Flow",2.82999992370605,NA
"87","08JA013",1956-01-27,"Flow",2.82999992370605,NA
"88","08JA013",1956-01-28,"Flow",2.82999992370605,NA
"89","08JA013",1956-01-29,"Flow",2.82999992370605,NA
"90","08JA013",1956-01-30,"Flow",2.82999992370605,NA
"91","08JA013",1956-01-31,"Flow",2.82999992370605,NA
"92","08JA013",1956-02-01,"Flow",2.82999992370605,NA
"93","08JA013",1956-02-02,"Flow",2.82999992370605,NA
"94","08JA013",1956-02-03,"Flow",2.82999992370605,NA
"95","08JA013",1956-02-04,"Flow",2.82999992370605,NA
"96","08JA013",1956-02-05,"Flow",2.82999992370605,NA
"97","08JA013",1956-02-06,"Flow",2.82999992370605,NA
"98","08JA013",1956-02-07,"Flow",2.82999992370605,NA
"99","08JA013",1956-02-08,"Flow",2.82999992370605,NA
"100","08JA013",1956-02-09,"Flow",2.82999992370605,NA
"101","08JA013",1956-02-10,"Flow",2.82999992370605,NA
"102","08JA013",1956-02-11,"Flow",2.82999992370605,NA
"103","08JA013",1956-02-12,"Flow",5.65999984741211,NA
"104","08JA013",1956-02-13,"Flow",5.65999984741211,NA
"105","08JA013",1956-02-14,"Flow",5.65999984741211,NA
"106","08JA013",1956-02-15,"Flow",5.65999984741211,NA
"107","08JA013",1956-02-16,"Flow",5.65999984741211,NA
"108","08JA013",1956-02-17,"Flow",5.65999984741211,NA
"109","08JA013",1956-02-18,"Flow",5.65999984741211,NA
"110","08JA013",1956-02-19,"Flow",5.65999984741211,NA
"111","08JA013",1956-02-20,"Flow",5.65999984741211,NA
"112","08JA013",1956-02-21,"Flow",5.65999984741211,NA
"113","08JA013",1956-02-22,"Flow",5.65999984741211,NA
"114","08JA013",1956-02-23,"Flow",5.65999984741211,NA
"115","08JA013",1956-02-24,"Flow",5.65999984741211,NA
"116","08JA013",1956-02-25,"Flow",5.65999984741211,NA
"117","08JA013",1956-02-26,"Flow",5.65999984741211,NA
"118","08JA013",1956-02-27,"Flow",5.65999984741211,NA
"119","08JA013",1956-02-28,"Flow",5.65999984741211,NA
"120","08JA013",1956-02-29,"Flow",5.65999984741211,NA
"121","08JA013",1956-03-01,"Flow",5.65999984741211,NA
"122","08JA013",1956-03-02,"Flow",5.65999984741211,NA
"123","08JA013",1956-03-03,"Flow",5.65999984741211,NA
"124","08JA013",1956-03-04,"Flow",5.65999984741211,NA
"125","08JA013",1956-03-05,"Flow",5.65999984741211,NA
"126","08JA013",1956-03-06,"Flow",5.65999984741211,NA
"127","08JA013",1956-03-07,"Flow",5.65999984741211,NA
"128","08JA013",1956-03-08,"Flow",5.65999984741211,NA
"129","08JA013",1956-03-09,"Flow",5.65999984741211,NA
"130","08JA013",1956-03-10,"Flow",5.65999984741211,NA
"131","08JA013",1956-03-11,"Flow",5.65999984741211,NA
"132","08JA013",1956-03-12,"Flow",5.65999984741211,NA
"133","08JA013",1956-03-13,"Flow",5.65999984741211,NA
"134","08JA013",1956-03-14,"Flow",5.65999984741211,NA
"135","08JA013",1956-03-15,"Flow",5.65999984741211,NA
"136","08JA013",1956-03-16,"Flow",5.65999984741211,NA
"137","08JA013",1956-03-17,"Flow",5.65999984741211,NA
"138","08JA013",1956-03-18,"Flow",5.65999984741211,NA
"139","08JA013",1956-03-19,"Flow",5.65999984741211,NA
"140","08JA013",1956-03-20,"Flow",5.65999984741211,NA
"141","08JA013",1956-03-21,"Flow",5.65999984741211,NA
"142","08JA013",1956-03-22,"Flow",5.65999984741211,NA
"143","08JA013",1956-03-23,"Flow",5.65999984741211,NA
"144","08JA013",1956-03-24,"Flow",5.65999984741211,NA
"145","08JA013",1956-03-25,"Flow",5.65999984741211,NA
"146","08JA013",1956-03-26,"Flow",5.65999984741211,NA
"147","08JA013",1956-03-27,"Flow",5.65999984741211,NA
"148","08JA013",1956-03-28,"Flow",5.65999984741211,NA
"149","08JA013",1956-03-29,"Flow",5.65999984741211,NA
"150","08JA013",1956-03-30,"Flow",5.65999984741211,NA
"151","08JA013",1956-03-31,"Flow",5.65999984741211,NA
"152","08JA013",1956-04-01,"Flow",5.65999984741211,NA
"153","08JA013",1956-04-02,"Flow",5.65999984741211,NA
"154","08JA013",1956-04-03,"Flow",5.65999984741211,NA
"155","08JA013",1956-04-04,"Flow",5.65999984741211,NA
"156","08JA013",1956-04-05,"Flow",5.65999984741211,NA
"157","08JA013",1956-04-06,"Flow",5.65999984741211,NA
"158","08JA013",1956-04-07,"Flow",5.65999984741211,NA
"159","08JA013",1956-04-08,"Flow",5.65999984741211,NA
"160","08JA013",1956-04-09,"Flow",5.65999984741211,NA
"161","08JA013",1956-04-10,"Flow",5.65999984741211,NA
"162","08JA013",1956-04-11,"Flow",5.65999984741211,NA
"163","08JA013",1956-04-12,"Flow",5.65999984741211,NA
"164","08JA013",1956-04-13,"Flow",5.65999984741211,NA
"165","08JA013",1956-04-14,"Flow",5.65999984741211,NA
"166","08JA013",1956-04-15,"Flow",5.65999984741211,NA
"167","08JA013",1956-04-16,"Flow",5.65999984741211,NA
"168","08JA013",1956-04-17,"Flow",5.65999984741211,NA
"169","08JA013",1956-04-18,"Flow",5.65999984741211,NA
"170","08JA013",1956-04-19,"Flow",5.65999984741211,NA
"171","08JA013",1956-04-20,"Flow",5.65999984741211,NA
"172","08JA013",1956-04-21,"Flow",5.65999984741211,NA
"173","08JA013",1956-04-22,"Flow",5.65999984741211,NA
"174","08JA013",1956-04-23,"Flow",5.65999984741211,NA
